 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 094 Dupla adulto e tríplice acelular gestante
Período:1994-2019
"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";57,76;61,31;73,92;67,24;31,71;48,30;36,78;53,88
"12 Acre";47,58;31,23;17,13;10,05;14,19;45,81;35,58;28,64
"13 Amazonas";48,43;49,11;51,92;36,65;49,46;56,72;39,75;47,39
"14 Roraima";40,34;42,07;52,24;55,85;53,23;41,23;26,04;44,48
"15 Pará";55,03;34,30;14,44;14,19;19,59;42,67;29,74;29,93
"16 Amapá";53,45;44,41;53,81;55,32;21,57;48,71;34,57;44,45
"17 Tocantins";52,32;37,08;15,24;11,52;35,06;48,25;36,77;33,73
"21 Maranhão";54,51;49,47;47,52;29,13;31,29;44,39;30,25;41,04
"22 Piauí";55,59;34,02;19,58;18,60;31,14;50,74;31,66;34,65
"23 Ceará";58,58;60,69;74,50;70,28;69,47;74,49;44,04;64,58
"24 Rio Grande do Norte";52,88;50,92;55,24;34,49;27,65;48,04;29,01;42,59
"25 Paraíba";53,19;37,91;32,21;31,06;37,03;50,25;31,23;39,03
"26 Pernambuco";60,89;60,46;66,24;53,31;49,55;58,84;39,48;55,66
"27 Alagoas";55,83;51,12;45,23;44,78;53,41;67,22;40,83;51,17
"28 Sergipe";60,12;50,44;50,51;23,74;28,85;47,77;29,32;41,62
"29 Bahia";56,87;49,88;41,62;25,16;21,61;32,95;22,47;36,06
"31 Minas Gerais";51,38;33,61;29,85;17,32;22,94;45,28;32,40;33,12
"32 Espírito Santo";50,18;53,36;56,78;48,69;49,70;59,66;40,05;51,18
"33 Rio de Janeiro";39,35;39,52;46,37;42,45;50,66;44,48;16,83;40,09
"35 São Paulo";47,48;42,80;59,91;24,23;28,59;41,16;27,16;38,70
"41 Paraná";44,02;36,77;29,54;18,48;35,23;44,05;31,52;34,14
"42 Santa Catarina";45,06;41,63;43,30;27,48;32,35;51,32;36,96;39,69
"43 Rio Grande do Sul";44,36;27,97;25,94;24,76;27,54;47,04;34,38;33,09
"50 Mato Grosso do Sul";45,72;52,52;51,22;46,68;59,54;63,00;42,03;51,55
"51 Mato Grosso";56,22;54,56;52,95;37,37;41,15;50,05;29,83;45,79
"52 Goiás";47,16;29,77;25,36;28,70;33,19;38,65;25,76;32,53
"53 Distrito Federal";76,57;65,42;62,84;85,71;19,26;55,65;43,89;58,45
"Total";50,73;43,50;45,57;31,53;34,56;47,02;30,73;40,48
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

