 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 003 dTpa gestante
Período:1994-2019
"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";3,04;8,86;64,65;59,53;32,67;61,99;48,88;39,87
"12 Acre";1,53;1,94;12,08;7,84;15,92;62,62;46,74;20,42
"13 Amazonas";2,27;7,00;49,29;42,85;58,11;70,89;50,14;40,24
"14 Roraima";11,55;7,43;43,67;50,22;62,40;63,00;45,33;41,19
"15 Pará";3,11;3,78;9,71;13,72;21,22;54,51;37,86;20,42
"16 Amapá";0,39;2,55;41,29;52,23;20,28;57,12;41,74;31,16
"17 Tocantins";2,25;5,14;16,55;19,23;54,45;73,95;53,80;31,95
"21 Maranhão";4,26;8,07;40,72;28,32;37,83;62,97;44,89;31,94
"22 Piauí";2,47;5,14;15,05;16,40;38,07;67,47;41,94;26,38
"23 Ceará";2,89;9,81;57,40;59,12;65,18;81,84;51,85;46,78
"24 Rio Grande do Norte";3,07;9,10;41,42;30,41;26,92;62,13;39,73;30,08
"25 Paraíba";3,65;7,76;29,79;28,28;34,11;63,67;44,28;30,01
"26 Pernambuco";6,49;16,04;59,77;49,22;51,30;68,16;49,11;42,56
"27 Alagoas";3,44;9,26;41,10;41,31;49,56;72,93;51,05;37,61
"28 Sergipe";0,64;6,70;39,36;21,14;29,44;62,05;40,90;28,14
"29 Bahia";4,74;11,31;40,12;26,96;27,64;52,10;35,36;27,96
"31 Minas Gerais";2,49;7,49;35,56;25,14;37,02;72,03;49,49;32,54
"32 Espírito Santo";2,34;15,66;59,81;49,87;63,25;78,79;51,45;46,17
"33 Rio de Janeiro";1,25;7,36;54,41;52,38;66,32;59,44;25,35;38,41
"35 São Paulo";2,41;12,38;61,09;26,42;35,90;54,68;35,86;32,58
"41 Paraná";0,98;4,77;37,65;30,94;56,55;68,90;48,17;35,60
"42 Santa Catarina";1,55;11,68;49,21;34,36;39,83;66,85;46,48;36,24
"43 Rio Grande do Sul";1,63;5,02;24,78;26,13;33,34;62,34;46,28;28,67
"50 Mato Grosso do Sul";2,50;11,54;44,57;40,61;60,58;69,92;47,75;39,81
"51 Mato Grosso";3,24;9,48;41,69;33,66;46,82;63,81;40,17;34,55
"52 Goiás";3,26;6,42;35,39;41,76;51,50;64,20;42,95;35,59
"53 Distrito Federal";3,40;19,12;53,29;74,74;21,95;64,21;51,33;41,23
"Total";2,80;9,34;44,97;33,81;42,36;63,06;41,97;33,97
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

