 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 073 Hepatite B
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";47,54;69,65;74,41;37,92;90,79;94,89;94,53;98,90;92,68;86,75;94,16;101,90;114,10;113,45;100,19;106,68;98,73;101,35;102,76;101,44;106,10;106,35;119,63;110,82;101,10;58,82;91,29
"12 Acre";11,21;51,66;47,67;13,15;28,87;113,88;60,72;77,99;84,91;94,58;83,24;82,15;85,93;101,72;88,30;97,63;93,29;93,78;90,68;84,83;65,21;82,62;81,55;73,54;69,93;51,17;74,94
"13 Amazonas";27,96;42,02;52,97;12,19;21,17;64,23;64,57;66,13;66,06;68,57;77,60;85,09;86,34;91,82;86,98;93,92;92,73;90,33;93,98;86,43;90,05;95,21;106,98;78,27;79,62;57,64;72,97
"14 Roraima";10,60;45,72;78,27;30,93;74,29;95,52;122,90;77,19;85,19;78,41;80,64;87,62;84,80;88,46;81,84;99,60;90,85;93,31;84,34;83,52;87,42;97,26;92,39;91,46;89,26;52,28;81,64
"15 Pará";3,46;31,17;34,69;5,14;10,52;63,64;63,75;73,64;85,50;86,50;105,25;106,42;105,30;103,32;102,19;104,32;100,64;96,71;93,35;93,44;83,71;73,63;76,33;62,24;57,79;41,42;71,09
"16 Amapá";...;6,92;66,18;11,79;34,62;83,62;87,62;156,27;90,72;86,50;89,80;91,32;90,84;89,91;91,22;100,73;90,14;88,48;87,77;92,44;78,21;85,74;99,65;63,60;64,72;47,09;80,76
"17 Tocantins";...;...;53,30;24,80;57,18;96,97;94,71;100,11;95,97;96,67;102,12;102,76;105,93;105,10;97,43;105,74;97,54;98,55;93,49;105,07;94,40;100,00;106,61;86,78;92,41;59,87;90,36
"21 Maranhão";0,07;0,00;0,14;0,47;3,28;35,39;64,93;75,45;79,78;84,96;95,98;100,16;106,39;106,25;101,16;106,02;100,24;97,04;97,44;100,18;90,09;92,09;87,50;75,17;80,53;46,35;67,82
"22 Piauí";-;0,01;0,00;-;-;14,23;91,91;95,29;93,41;88,93;94,87;94,83;101,69;101,98;99,19;102,30;95,72;96,92;93,04;93,74;82,92;82,37;88,08;78,44;89,14;59,51;67,84
"23 Ceará";-;-;0,03;0,00;1,02;59,57;96,84;107,33;100,35;97,22;108,58;106,33;104,35;104,49;101,68;103,63;99,54;98,25;95,67;100,85;99,59;108,66;125,04;98,66;113,36;64,16;77,12
"24 Rio Grande do Norte";-;0,00;0,00;0,01;0,73;38,88;86,44;88,03;97,59;97,58;95,41;94,62;102,00;97,72;91,43;97,95;94,28;97,52;97,04;89,58;89,93;91,01;83,49;70,30;90,89;45,56;68,49
"25 Paraíba";...;-;0,01;0,02;0,56;45,64;89,16;96,64;96,61;94,77;98,70;101,24;107,08;105,84;97,95;105,20;98,07;98,29;96,31;100,04;93,49;95,19;97,01;83,29;95,53;55,91;75,29
"26 Pernambuco";-;-;0,08;0,35;1,31;85,69;93,22;87,18;97,84;101,58;99,51;99,31;101,79;104,14;102,32;105,14;98,76;103,01;103,68;103,47;101,80;104,38;103,40;87,64;98,37;56,95;76,21
"27 Alagoas";...;-;0,06;0,10;4,38;55,10;82,28;76,94;95,03;94,88;99,02;97,95;99,90;90,95;88,86;103,26;96,60;89,84;92,56;95,50;91,65;92,53;98,57;82,62;102,15;62,38;73,23
"28 Sergipe";...;-;0,01;0,03;1,26;72,99;101,48;92,74;101,39;102,71;100,92;90,63;94,47;105,13;98,65;103,22;98,60;102,07;96,56;100,05;94,41;94,09;82,14;80,47;97,09;59,40;77,89
"29 Bahia";-;-;0,00;0,06;11,82;83,39;80,18;92,96;83,82;85,32;94,24;102,38;103,71;99,72;96,03;99,78;94,43;95,95;92,25;90,64;92,41;93,42;83,73;78,43;78,98;47,40;69,59
"31 Minas Gerais";...;...;...;0,02;1,18;75,64;111,31;94,13;90,25;83,43;99,70;101,94;103,54;103,38;99,11;103,78;96,80;98,03;100,70;104,11;99,04;100,98;105,35;90,67;99,96;65,15;86,70
"32 Espírito Santo";90,42;86,87;85,76;34,50;100,01;107,94;97,75;98,52;102,69;108,10;105,15;103,15;103,09;102,16;98,36;102,15;99,21;103,95;101,42;107,36;101,41;101,12;117,67;84,23;104,17;51,65;95,90
"33 Rio de Janeiro";...;0,00;0,05;0,34;1,88;77,08;84,27;86,26;89,03;87,30;90,68;96,53;96,12;93,67;87,94;93,05;90,28;94,81;92,62;96,57;94,87;103,85;120,07;94,87;93,53;33,90;75,63
"35 São Paulo";...;-;-;-;2,79;112,32;97,24;96,00;93,82;98,29;95,86;97,17;97,07;96,10;95,05;97,76;95,63;99,28;97,44;104,37;99,58;100,68;110,04;89,43;98,61;59,56;80,97
"41 Paraná";...;26,62;89,96;47,95;44,53;104,07;99,61;101,45;99,45;99,26;95,66;97,17;100,81;100,33;95,12;98,93;97,79;100,84;99,07;104,45;99,40;101,88;104,69;95,15;98,12;72,75;89,93
"42 Santa Catarina";38,45;91,98;82,64;21,72;68,98;86,46;96,26;98,88;98,88;100,70;96,09;98,75;98,63;101,07;94,93;100,62;98,74;101,22;99,42;104,61;100,38;106,00;121,84;87,66;103,51;64,82;90,03
"43 Rio Grande do Sul";...;-;0,05;0,10;2,18;110,45;94,77;93,66;90,06;91,56;90,38;93,33;95,34;95,99;91,14;93,50;90,96;93,63;92,02;102,56;95,99;91,92;110,43;86,52;89,41;60,50;75,56
"50 Mato Grosso do Sul";...;...;0,03;0,16;0,71;65,29;96,99;97,81;97,30;97,66;89,83;95,83;102,21;101,60;93,00;102,63;96,35;99,98;99,51;113,30;129,11;118,97;102,64;93,99;95,72;60,47;84,91
"51 Mato Grosso";0,01;0,02;0,97;0,34;5,75;75,32;81,56;88,94;88,40;89,75;93,28;96,64;98,85;104,81;96,31;103,30;96,55;99,06;98,60;99,16;103,23;102,05;105,80;86,84;91,38;55,76;73,58
"52 Goiás";-;0,01;2,40;1,20;5,36;90,29;90,71;91,28;90,89;92,24;95,53;94,89;104,46;106,75;100,32;101,53;97,55;100,39;102,78;107,85;94,71;97,66;105,04;82,85;90,83;52,83;75,54
"53 Distrito Federal";...;1,37;102,91;32,44;89,69;119,35;86,83;91,43;92,17;90,01;95,52;94,07;99,85;97,14;96,36;99,42;91,25;85,47;92,46;108,90;94,44;67,49;159,70;89,63;87,32;54,28;88,80
"Total";8,85;10,50;16,50;5,79;12,63;83,50;91,08;91,88;91,47;92,00;96,26;98,46;100,30;99,89;96,06;100,20;96,08;97,71;96,67;100,56;96,42;97,74;105,19;86,29;92,91;55,93;78,46
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

